stress_def,model,fold_id,n_train,n_test,auc,pr_auc,brier,ece,threshold,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_test_eff,seed,crisis,configuration,is_recovery,auc_full_window,auc_first30,auc_rest,n_train_rows_after_dropna,n_trees_built,calm_mean_score,calm_max_score
h10_d05,HarRvThreshold,1,2229,253,0.5827560613557645,0.33004248952772763,0.18131298687849473,0.14799917564365134,0.16171510280280088,0.30735930735930733,0.29577464788732394,1.7398081057551098,1.3070949816030377,71,43,231,45,crisis_2020,spx_full,False,0.5827560613557645,0.6634615384615385,0.5038363171355499,1574,,0.05337018929775342,0.23045948485542084
h10_d05,HarRvThreshold,1,2229,253,0.5827560613557645,0.33004248952772763,0.18131298687849473,0.14799917564365134,0.16171510280280088,0.30735930735930733,0.29577464788732394,1.7398081057551098,1.3070949816030377,71,43,231,46,crisis_2020,spx_full,False,0.5827560613557645,0.6634615384615385,0.5038363171355499,1574,,0.05337018929775342,0.23045948485542084
h10_d05,LogisticRegressionL2,1,2229,253,,,,,0.8383286489778837,,,,,0,0,0,42,crisis_2020,spx_full,False,,,,1574,,0.28896082910439935,0.822641101249415
h10_d05,LogisticRegressionL2,1,2229,253,,,,,0.8383286489778837,,,,,0,0,0,43,crisis_2020,spx_full,False,,,,1574,,0.28896082910439935,0.822641101249415
h10_d05,LogisticRegressionL2,1,2229,253,,,,,0.8383286489778837,,,,,0,0,0,44,crisis_2020,spx_full,False,,,,1574,,0.28896082910439935,0.822641101249415
h10_d05,LogisticRegressionL2,1,2229,253,,,,,0.8383286489778837,,,,,0,0,0,45,crisis_2020,spx_full,False,,,,1574,,0.28896082910439935,0.822641101249415
h10_d05,LogisticRegressionL2,1,2229,253,,,,,0.8383286489778837,,,,,0,0,0,46,crisis_2020,spx_full,False,,,,1574,,0.28896082910439935,0.822641101249415
h10_d05,LightGbmTuned,1,2229,253,,,,,0.680044764567623,,,,,0,0,0,42,crisis_2020,spx_full,False,,,,1574,50.0,0.39119047449949035,0.6457697624101312
h10_d05,LightGbmTuned,1,2229,253,,,,,0.680044764567623,,,,,0,0,0,43,crisis_2020,spx_full,False,,,,1574,50.0,0.39119047449949035,0.6457697624101312
h10_d05,LightGbmTuned,1,2229,253,,,,,0.680044764567623,,,,,0,0,0,44,crisis_2020,spx_full,False,,,,1574,50.0,0.39119047449949035,0.6457697624101312
h10_d05,LightGbmTuned,1,2229,253,,,,,0.680044764567623,,,,,0,0,0,45,crisis_2020,spx_full,False,,,,1574,50.0,0.39119047449949035,0.6457697624101312
