crisis,configuration,stress_def,model,seed,n_train,n_test,auc,auc_full_window,auc_first30,auc_rest,pr_auc,brier,ece,alarm_rate,alarm_precision,drawdown_lift,severity_lift,n_alarms,n_events,n_train_rows_after_dropna,n_trees_built,calm_mean_score,calm_max_score
crisis_2008,spx_crisis_2008,h20_d07,LogisticRegressionL2,44,251,505,0.5361923942660822,0.5361923942660822,0.5208333333333333,0.5305901581411785,0.3067135646616468,0.4250193234997735,0.42054366228764317,0.44554455445544555,0.28444444444444444,1.1522373909631316,1.2156603519243634,225,138,231,,0.4824700184953413,0.9390666535891272
crisis_2008,spx_crisis_2008,h20_d07,LogisticRegressionL2,45,251,505,0.5361923942660822,0.5361923942660822,0.5208333333333333,0.5305901581411785,0.3067135646616468,0.4250193234997735,0.42054366228764317,0.44554455445544555,0.28444444444444444,1.1522373909631316,1.2156603519243634,225,138,231,,0.4824700184953413,0.9390666535891272
crisis_2008,spx_crisis_2008,h20_d07,LogisticRegressionL2,46,251,505,0.5361923942660822,0.5361923942660822,0.5208333333333333,0.5305901581411785,0.3067135646616468,0.4250193234997735,0.42054366228764317,0.44554455445544555,0.28444444444444444,1.1522373909631316,1.2156603519243634,225,138,231,,0.4824700184953413,0.9390666535891272
crisis_2008,spx_crisis_2008,h20_d07,LightGbmTuned,42,251,505,0.4863661493503929,0.4863661493503929,0.3263888888888889,0.4932304090467356,0.2706713606467602,0.247939315083379,0.21800941382423517,0.0,,,,0,138,231,50.0,0.499128748930213,0.5793423981271689
crisis_2008,spx_crisis_2008,h20_d07,LightGbmTuned,43,251,505,0.4863661493503929,0.4863661493503929,0.3263888888888889,0.4932304090467356,0.2706713606467602,0.247939315083379,0.21800941382423517,0.0,,,,0,138,231,50.0,0.499128748930213,0.5793423981271689
crisis_2008,spx_crisis_2008,h20_d07,LightGbmTuned,44,251,505,0.4863661493503929,0.4863661493503929,0.3263888888888889,0.4932304090467356,0.2706713606467602,0.247939315083379,0.21800941382423517,0.0,,,,0,138,231,50.0,0.499128748930213,0.5793423981271689
crisis_2008,spx_crisis_2008,h20_d07,LightGbmTuned,45,251,505,0.4863661493503929,0.4863661493503929,0.3263888888888889,0.4932304090467356,0.2706713606467602,0.247939315083379,0.21800941382423517,0.0,,,,0,138,231,50.0,0.499128748930213,0.5793423981271689
crisis_2008,spx_crisis_2008,h20_d07,LightGbmTuned,46,251,505,0.4863661493503929,0.4863661493503929,0.3263888888888889,0.4932304090467356,0.2706713606467602,0.247939315083379,0.21800941382423517,0.0,,,,0,138,231,50.0,0.499128748930213,0.5793423981271689
crisis_2020,spx_full,h5_d03,NaiveBaseRate,42,2229,253,0.5,0.5,,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.0,,,,0,52,1574,,0.061626429479034316,0.06162642947903431
crisis_2020,spx_full,h5_d03,NaiveBaseRate,43,2229,253,0.5,0.5,,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.0,,,,0,52,1574,,0.061626429479034316,0.06162642947903431
crisis_2020,spx_full,h5_d03,NaiveBaseRate,44,2229,253,0.5,0.5,,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.0,,,,0,52,1574,,0.061626429479034316,0.06162642947903431
crisis_2020,spx_full,h5_d03,NaiveBaseRate,45,2229,253,0.5,0.5,,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.0,,,,0,52,1574,,0.061626429479034316,0.06162642947903431
crisis_2020,spx_full,h5_d03,NaiveBaseRate,46,2229,253,0.5,0.5,,0.5,0.20553359683794467,0.18011547817156595,0.1297148440339967,0.0,,,,0,52,1574,,0.061626429479034316,0.06162642947903431
crisis_2020,spx_full,h5_d03,VIXPercentileRaw,42,2229,253,0.6788652889399158,0.6788652889399158,,0.6283738191632928,0.379568304924152,0.6367531868278612,0.6746923858516112,0.4980237154150198,0.2777777777777778,1.295100363551508,1.0608346930628059,126,52,1574,,0.6019377382465056,0.9104193138500636
crisis_2020,spx_full,h5_d03,VIXPercentileRaw,43,2229,253,0.6788652889399158,0.6788652889399158,,0.6283738191632928,0.379568304924152,0.6367531868278612,0.6746923858516112,0.4980237154150198,0.2777777777777778,1.295100363551508,1.0608346930628059,126,52,1574,,0.6019377382465056,0.9104193138500636
crisis_2020,spx_full,h5_d03,VIXPercentileRaw,44,2229,253,0.6788652889399158,0.6788652889399158,,0.6283738191632928,0.379568304924152,0.6367531868278612,0.6746923858516112,0.4980237154150198,0.2777777777777778,1.295100363551508,1.0608346930628059,126,52,1574,,0.6019377382465056,0.9104193138500636
crisis_2020,spx_full,h5_d03,VIXPercentileRaw,45,2229,253,0.6788652889399158,0.6788652889399158,,0.6283738191632928,0.379568304924152,0.6367531868278612,0.6746923858516112,0.4980237154150198,0.2777777777777778,1.295100363551508,1.0608346930628059,126,52,1574,,0.6019377382465056,0.9104193138500636
